TABLE,RESPONSE,GROUP,GROUP WEIGHTED %,Year
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Rest of mainland,28,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Rest of mainland,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Rest of mainland,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Rest of mainland,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,GENDER: M,62,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",GENDER: M,35,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,GENDER: M,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,GENDER: M,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,GENDER: M,2,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,GENDER: F,72,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",GENDER: F,25,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,GENDER: F,2,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,GENDER: F,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,GENDER: F,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 18- 34,61,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 18- 34,37,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 18- 34,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 18- 34,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 18- 34,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 35- 54,72,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 35- 54,26,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 35- 54,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 35- 54,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 35- 54,2,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 55+,67,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 55+,29,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 55+,3,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 55+,0,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 55+,1,2020
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,NOVA SCOTIA %,47,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",NOVA SCOTIA %,48,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,NOVA SCOTIA %,3,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,NOVA SCOTIA %,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,NOVA SCOTIA %,1,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Halifax,45,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Halifax,53,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Halifax,1,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Halifax,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Halifax,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Cape Breton,60,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Cape Breton,39,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Cape Breton,1,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Cape Breton,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Cape Breton,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Rest of mainland,44,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Rest of mainland,47,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Rest of mainland,6,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Rest of mainland,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Rest of mainland,2,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,GENDER: M,46,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",GENDER: M,46,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,GENDER: M,6,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,GENDER: M,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,GENDER: M,2,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,GENDER: F,48,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",GENDER: F,51,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,GENDER: F,1,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,GENDER: F,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,GENDER: F,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 18- 34,43,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 18- 34,55,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 18- 34,2,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 18- 34,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 18- 34,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 35- 54,42,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 35- 54,49,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 35- 54,6,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 35- 54,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 35- 54,3,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 55+,52,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 55+,45,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 55+,2,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 55+,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 55+,0,2019
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,NOVA SCOTIA %,62,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",NOVA SCOTIA %,36,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,NOVA SCOTIA %,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,NOVA SCOTIA %,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,NOVA SCOTIA %,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Halifax,60,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Halifax,38,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Halifax,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Halifax,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Halifax,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Cape Breton,69,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Cape Breton,31,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Cape Breton,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Cape Breton,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Cape Breton,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,REGION: Rest of mainland,62,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",REGION: Rest of mainland,36,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,REGION: Rest of mainland,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,REGION: Rest of mainland,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,REGION: Rest of mainland,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,GENDER: M,62,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",GENDER: M,36,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,GENDER: M,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,GENDER: M,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,GENDER: M,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,GENDER: F,63,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",GENDER: F,36,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,GENDER: F,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,GENDER: F,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,GENDER: F,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 18- 34,54,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 18- 34,46,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 18- 34,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 18- 34,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 18- 34,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 35- 54,65,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 35- 54,32,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 35- 54,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 35- 54,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 35- 54,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,AGE: 55+,65,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?","Important, but not critical",AGE: 55+,33,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not very important,AGE: 55+,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Not at all important,AGE: 55+,1,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Don’t know/Not sure,AGE: 55+,0,2018
"In your opinion, how important is the Nova Scotia tourism industry to the Nova Scotia economy? Is it critically important, important, but not critical, not very important, or not at all important?",Critically important,NOVA SCOTIA %,62,2017
